Date,Days,Open,High,Low,Close,POC,VAH,VAL,IB High,IB Low,RE High,RE Low,RF,TPO Ab. POC,TPO Bl. POC,Total TPO,Range (pips),V.A Range,IB Range,Volume,Avg Volume,(VTY),TFF,Close %R,SF,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO
6/13/2025,15,0.912049095,1.0952095,2.074684003,1.539525746,1.8296804,1.647837583,2.036433999,0.877748605,0.979517894,-0.118625685,-0.890573918,0.572460233,-1.132081999,-0.198723674,-1.31290096,-1.534859463,-0.973737554,-1.558458265,-1.177354535,-1.187482326,-1.292495226,1.44218932,-0.694724212,1.211148441,-0.096837868,-0.231207403,-1.0210912,-0.719430719
6/12/2025,15,0.782237374,1.11517298,1.848362552,1.34344594,1.87419141,1.739989505,1.968937936,0.825744562,0.86902359,-0.047830769,-0.775247492,0.676154659,-1.278997147,-0.108881774,-1.374959944,-1.241989558,-0.716954935,-0.806150652,-1.197295321,-1.232430787,-1.381984128,0.485703629,-0.344700044,0.646669355,0.099759476,-0.301044699,-0.819610449,-1.587999402
6/11/2025,15,0.70374069,1.135643599,1.822750694,1.628281389,2.314159519,1.787811908,1.913055233,0.647360281,0.594669783,0.162424536,-0.938926591,0.864508215,-2.307083274,0.808494681,-1.372722057,-1.176515026,-0.550608507,0.440054869,-1.194914317,-1.230844406,-1.380401669,0.331107209,-0.953289524,-2.650277121,0.015920074,-0.570782408,-0.684564897,-1.237799922
6/10/2025,15,0.950877651,1.156650011,1.865577682,1.685348859,0.974315152,1.209166398,1.449787081,0.929066113,0.965331368,-0.13883741,-0.674595987,0.587854037,0.445825947,-1.694515812,-1.381245715,-1.186723036,-0.60269124,-0.75052303,-1.17195044,-1.20886664,-1.389591811,0.348891063,-0.997021628,-1.015050042,-0.464361158,-0.585810514,-0.511995424,-0.866002135
6/9/2025,15,1.119735281,1.087406803,1.910694112,1.859952085,1.090127315,1.121825123,1.479282214,1.285254883,1.212127368,-0.586003481,-0.50456641,0.268755989,-0.008369357,-1.293505005,-1.399796755,-1.264553328,-0.751722134,0.459561166,-1.173085142,-1.210760154,-1.408601736,0.504838158,-1.393208755,0.141651739,-0.666000995,-0.767961125,-0.224637738,-0.968892838
6/6/2025,15,0.919962767,1.106560728,1.958328931,1.875911752,0.988157466,1.042352346,1.504705068,0.879503831,0.831176078,-0.124145643,-0.802781728,0.566239071,0.390933391,-1.674744744,-1.400036537,-1.2772995,-0.881511556,0.284956669,-1.137440323,-1.176196646,-1.410868289,0.53641722,-1.352730265,-1.24382214,-1.031256774,-0.785628516,0.014130343,-0.93543326
6/5/2025,15,1.127677333,1.126185121,2.008744571,1.507060909,1.104846218,0.968298535,1.527476995,1.064743584,0.942388296,-0.314036098,-0.733204763,0.229198299,-0.085559788,-1.196511131,-1.374819087,-1.290273818,-1.000439983,1.096936784,-1.137178049,-1.176603883,-1.387056344,0.600231696,-0.504587675,0.129095227,-1.254137429,-0.935324978,0.277725608,-0.893156329
6/4/2025,15,1.524916059,1.146056254,2.062243542,0.849344189,1.236118488,0.844267864,1.5360514,1.489603382,1.378907623,-0.76349257,-0.414731177,-0.531502426,-0.694643712,-0.663189377,-1.442682664,-1.303829244,-1.164424173,0.780700109,-1.145492305,-1.185524159,-1.452495156,0.545175416,0.8992679,0.794658496,-1.317331453,-1.221848497,0.454353175,-0.90697973
6/3/2025,15,2.382221162,1.227664613,2.119176685,1.389785527,1.248853458,0.871667215,1.454278023,2.373771516,2.350087354,-1.644118951,0.286658114,-0.906056742,-0.602809245,-0.725698366,-1.429348029,-1.27361312,-0.99521916,-0.646101324,-1.097597315,-1.138615122,-1.439774446,0.487870698,-0.136290543,0.711590928,-1.183430675,-1.230682958,0.373114997,-0.838005212
6/2/2025,15,1.895338803,1.201996582,2.179953606,0.717576906,1.261816232,1.001721319,1.486028913,1.815294571,1.693195182,-1.091823447,-0.173888053,-0.822656809,-0.473183031,-0.877518432,-1.473471363,-1.3039611,-0.853250042,0.769158548,-1.070313512,-1.112104845,-1.484588533,0.484175406,1.237512278,1.033722655,-0.848371757,-1.26523735,0.199583929,-0.924236846
5/30/2025,15,1.086969916,1.158796381,2.245056,0.978988304,1.313099413,1.129441289,1.520430311,1.135478956,1.130521613,-0.404546763,-0.568101709,-0.212451366,-0.335344231,-0.920950205,-1.38690618,-1.335281319,-0.717172222,-0.350102001,-0.993292658,-1.036144849,-1.40198123,0.638199524,0.718438776,1.314680168,-0.587621544,-1.080794923,0.034675372,-0.945832339
5/29/2025,15,0.83092028,1.118512441,2.315054878,1.152960634,1.044423532,1.144223661,1.535465673,0.7594194,0.737136233,-0.006734115,-0.868055716,-0.205081897,0.3831123,-1.724144734,-1.492512751,-1.367807081,-0.696106234,0.008463982,-1.006955362,-1.050125357,-1.503260352,0.561078897,0.368067056,-0.649275333,-0.590496286,-1.139177331,-0.163243772,-0.539122341
