Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net
6/13/2025,15,0,0,0,-2,-10,-12
6/12/2025,15,-2,-6,-8,-4,-14,-18
6/11/2025,15,0,-4,-4,-2,-12,-14
6/10/2025,15,-2,-4,-6,-4,-14,-18
6/9/2025,15,0,-4,-4,-2,-8,-10
6/6/2025,15,-2,-6,-8,-6,-8,-14
6/5/2025,15,0,2,2,-8,-4,-12
6/4/2025,15,-4,-4,-8,-14,-12,-26
6/3/2025,15,-4,-2,-6,-12,-6,-18
6/2/2025,15,-6,-6,-12,-8,-8,-16
5/30/2025,15,-2,2,0,-4,-4,-8
5/29/2025,15,0,-4,-4,0,-10,-10
5/28/2025,15,-2,-2,-4,-2,-14,-16
5/27/2025,15,2,-4,-2,0,-20,-20
5/26/2025,15,-2,-8,-10,-4,-22,-26
5/23/2025,15,0,-8,-8,-6,-16,-22
5/22/2025,15,-2,-6,-8,-8,-8,-16
5/21/2025,15,-4,-2,-6,-8,-8,-16
5/20/2025,15,-2,0,-2,-6,-10,-16
5/19/2025,15,-2,-6,-8,-4,-16,-20
5/16/2025,15,-2,-4,-6,-2,-16,-18
5/15/2025,15,0,-6,-6,2,-16,-14
5/14/2025,15,0,-6,-6,2,-4,-2
5/13/2025,15,2,-4,-2,4,4,8
5/12/2025,15,0,6,6,4,2,6
5/9/2025,15,2,2,4,8,-10,-2
5/8/2025,15,2,-6,-4,4,-18,-14
5/7/2025,15,4,-6,-2,2,-16,-14
5/6/2025,15,-2,-6,-8,0,-16,-16
5/5/2025,15,0,-4,-4,2,-14,-12
