Date,Days,Dir,Act,Net,3D Dir,3D Act,3D Net
6/13/2025,10,-2,2,0,-8,-10,-18
6/12/2025,10,-6,-8,-14,-8,-10,-18
6/11/2025,10,0,-4,-4,-6,4,-2
6/10/2025,10,-2,2,0,-2,2,0
6/9/2025,10,-4,6,2,6,-2,4
6/6/2025,10,4,-6,-2,10,-14,-4
6/5/2025,10,6,-2,4,8,-14,-6
6/4/2025,10,0,-6,-6,-4,-16,-20
6/3/2025,10,2,-6,-4,-8,-6,-14
6/2/2025,10,-6,-4,-10,-14,6,-8
5/30/2025,10,-4,4,0,-10,4,-6
5/29/2025,10,-4,6,2,-8,-8,-16
5/28/2025,10,-2,-6,-8,-6,-22,-28
5/27/2025,10,-2,-8,-10,-6,-14,-20
5/26/2025,10,-2,-8,-10,-6,-10,-16
5/23/2025,10,-2,2,0,-8,-6,-14
5/22/2025,10,-2,-4,-6,-10,-12,-22
5/21/2025,10,-4,-4,-8,-6,-6,-12
5/20/2025,10,-4,-4,-8,-6,-10,-16
5/19/2025,10,2,2,4,-4,-12,-16
5/16/2025,10,-4,-8,-12,-6,-10,-16
5/15/2025,10,-2,-6,-8,-2,4,2
5/14/2025,10,0,4,4,2,14,16
5/13/2025,10,0,6,6,2,8,10
5/12/2025,10,2,4,6,6,4,10
5/9/2025,10,0,-2,-2,8,-8,0
5/8/2025,10,4,2,6,10,-10,0
5/7/2025,10,4,-8,-4,4,-18,-14
5/6/2025,10,2,-4,-2,-4,-6,-10
5/5/2025,10,-2,-6,-8,0,-6,-6
